allergen,safe_filter_effectiveness,unsafe_return_rate,safe_filter_ci_low,safe_filter_ci_high,retained_recipe_count
celery,0.9367088607594937,0.06329113924050633,0.8602511483722118,0.9726651351199317,79
gluten,0.7647058823529411,0.23529411764705888,0.6000386207746361,0.8756301446736042,34
crustaceans,1.0,0.0,0.9590643744356734,1.0000000000000002,90
eggs,0.9230769230769231,0.07692307692307687,0.8182643761570466,0.9696806548150699,52
fish,1.0,0.0,0.9500079920442687,0.9999999999999999,73
lupin,1.0,0.0,0.9594959960711197,0.9999999999999999,91
milk,0.9375,0.0625,0.7985287685584541,0.9826894329683591,32
molluscs,1.0,0.0,0.9581729333351077,1.0,88
mustard,0.9759036144578314,0.02409638554216864,0.916336907565837,0.9933668338592725,83
nuts,1.0,0.0,0.9552493763098998,1.0000000000000002,82
peanuts,1.0,0.0,0.9594959960711197,0.9999999999999999,91
sesame,0.927710843373494,0.07228915662650603,0.8511321390822681,0.9664497044770073,83
soya,0.9733333333333334,0.026666666666666616,0.9078851181224086,0.9926563109938686,75
sulphites,0.8974358974358975,0.10256410256410253,0.8104556014759761,0.9471066523425362,78
